depth,cal BP,density,accrate,weight,lycadd,lyc,Abies,Pinus,Juniperus,Taxus,Betula,Corylus,Alnus,Carpinus,Salix,Ulmus,Populus,Acer,Fraxinus,Fagus,Tilia,Juglans,Castanea,Dec_Querc,Mar_Querc,Ever_Querc,Pistacia,Rhamnus,Phillyrea,Buxus,Sambucus,Viburnum,Sanguisorba,Tamarix,Thymelaeaceae,Ephedra distachya,Ephedra fragilis,Ericaceae,Hereda helix,Ilex aquifolium,Viscum album,Lonicera,Vitis,Oleaceae,Myrtus,Olea,,Poaceae,Lygeum spartum,Artemisia,Cichorioideae,Asteroideae,Cardueae,Rubiaceae,Centaurea,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Saxifragaceae,Fabaceae,Genista,Lotus type,Trifolium type,Rosaceae,Ribes,Potentilla,Boraginaceae,Sedum,Helianthemum,Linum,Corydalis,Lamiaceae,Urticaceae,Rumex,Plumbaginaceae,Berberidaceae,Euphorbiaceae,Primulaceae,Scrophulariaceae,Papaver,Geraniaceae,Campanulaceae,Dipsacaceae,Malvaceae,Violaceae,Convolvulaceae,Asphodelus,Liliaceae,Iridaceae,Erodium,Cytisus,Crassulaceae,Lycium,Ranunculaceae,Cistaceae,Orobanchaceae,Galium,Apiaceae,Valerianaceae,Cerealia,Polygonaceae,Pinguicula,Droseraceae,Cannabis,Cyperaceae,Epilobium,Aristolochia,Ranunculus,Thalictrum,Lythrum,Juncus,Utricularia,Typha,Pedicularis,Sparganium,Lemna,Nymphaea,Myriophyllum,Potamogeton,Isoetes,Asplenium,Polypodium,Monolete ornametnada,Monolete indeterminada,Botrychium,Osmunda,Pteris,Selaginella,Trilete ornamentada,Trilete indeterminada,Chaetomium,Podospora,Sordaria,Sporormiella
0.5,-56.9,1.5,0.46,4.3,24200,26,1,189,8,0,2,2,0,0,0,0,0,0,6,1,0,0,2,8,14,25,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,12,0,2,0,0,1,0,0,10,0,1,2,0,0,2,8,1,1,1,0,1,0,0,0,0,0,8,5,1,0,1,0,4,3,0,0,1,0,0,0,0,0,2,2,0,0,1,0,2,1,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.5,-50.33,1.7,0.46,3.4,24200,12,1,149,15,0,2,2,0,0,1,1,0,0,2,5,0,1,1,17,13,24,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,22,0,2,2,2,1,0,0,11,1,2,3,0,0,5,5,0,1,3,0,0,1,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,2,0,0,3,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,-42.11,1.5,0.46,3.2,24200,58,0,206,8,0,3,5,0,0,2,0,0,0,3,3,0,0,4,9,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,14,0,3,1,0,0,0,0,13,0,2,2,0,1,4,1,4,1,1,0,0,0,0,0,0,0,3,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6,0,0,1,2,0,2,0,0,0,0,2,0,0,5,0,0,2,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
15.5,-30.47,1.7,0.46,4,24200,29,0,252,6,0,1,2,0,0,2,0,0,0,1,0,0,0,4,10,4,8,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,15,0,18,0,6,7,2,3,0,0,13,1,0,3,0,1,4,1,2,0,2,0,0,0,0,0,0,0,5,3,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
20.5,-13.25,1.7,0.09,3.2,24200,17,0,141,9,0,2,4,0,0,0,0,0,0,2,4,1,2,2,11,14,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,0,18,0,5,2,4,0,0,2,6,0,2,1,0,1,4,3,0,0,3,1,0,0,0,0,0,0,6,6,3,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,1,0,0,0,5,0,0,3,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25.5,1.33,1.3,0.09,3.1,24200,13,0,144,16,0,2,2,0,0,0,0,0,0,2,4,0,1,1,12,7,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,30,0,22,0,3,1,2,1,0,0,8,0,4,1,0,3,1,2,1,2,1,1,0,1,0,0,0,0,4,3,2,0,0,0,1,2,2,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,2,0,1,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30.5,19.03,1.7,0.09,2.9,24200,17,0,165,3,0,1,0,1,0,0,0,0,0,3,3,0,1,1,12,4,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,27,0,22,0,4,5,1,0,0,0,7,1,2,0,0,2,1,4,1,0,0,2,0,0,0,0,0,0,3,5,2,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39.5,65.1,1.5,0.09,2.6,24200,14,0,92,9,0,1,1,0,0,0,0,1,0,15,2,0,0,0,9,3,6,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,4,0,40,0,20,0,16,4,4,1,0,3,14,4,1,2,0,1,14,4,1,2,5,0,0,0,0,5,0,0,7,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0
40.5,70.85,1.7,0.09,3.1,24200,19,0,74,10,0,1,1,0,0,0,1,1,0,2,2,0,1,4,15,4,11,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,0,20,0,9,3,1,0,0,0,20,1,1,1,0,1,9,2,0,3,1,1,0,0,0,0,0,0,4,4,2,0,0,0,4,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,2,0,0,1,0,0,0,5,0,0,5,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
45.5,98.14,1.7,0.09,4.2,24200,12,0,176,7,0,3,2,0,0,2,1,0,0,1,3,0,0,2,6,0,2,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,22,0,29,0,2,10,5,2,1,1,10,0,1,0,0,0,1,0,2,1,2,0,0,0,0,3,0,0,5,3,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,6,0,2,0,2,1,2
