depth,cal BP,density,accrate,weight,lycadd,lyc,CHAR,Abies,Pinus,Juniperus,Taxus,Betula,Corylus,Alnus,Carpinus,Salix,Ulmus,Populus,Acer,Fraxinus,Fagus,Tilia,Juglans,Castanea,Dec_Querc,Mar_Querc,Ever_Querc,Pistacia,Rhamnus,Phillyrea,Buxus,Sambucus,Viburnum,Tamarix,Thymelaeaceae,Ephedra dist,Ephedra frag,Ericaceae,Hereda helix,Ilex aquifolium,Viscum album,Lonicera,Vitis,Oleaceae,Myrtus,Olea,Poaceae,Lygeum,Artemisia,Cicho,Astroi,Carduaceae,Rubiac,Centaurea,Chenopo,Caryphy,Plantago,Brassicac,Genitana,Saxifrag,Fabaceae,Genista,Lotus type,Trifolium type,Rosaceae,Potentilla,Boraginac,Sedum,Helianthem,Linum,Corydalis,Lamiaceae,Urticaceae,Rumex,Plumbagi,Berberidaceae,Euphorbiac,Primulac,Scrophulari,Papaver,Geraniac,Campanulac,Dipsacacea,Malvaceae,Violaceae,Convolvulaceae,Asphodelus,Liliaceae,Iridaceae,Erodium,Cytisus,Crassulaceae,Ranunculaceae,Cistaceae,Orobanchaceae,Galium,Apiaceae,Valerian,Cerealia,Polygon,Pinguicola,Droseraceae,Cannabis,Epilobium,Aristolochia,Cyperaceae,Ranunculus,Thalictrum,Lythrum,Juncus,Typha,Pedicularis,Sparganium,Lemna,Nymphaea,Myriophy,Potamogeton,Isoetes,Asplenium,Polypodium,Monolete_ornam,Monolete_indet,Botrychium,Selaginella,Trilete_ornam,Trilete_indet,Chaetomium,Podospora,Sordaria,Glomus,total,herb
0.5,-56.9,1.5,0.46,4.3,24200,26,103941.580703177,148.102815177479,27991.4320685434,1184.82252141983,0,296.205630354957,296.205630354957,0,0,0,0,0,0,888.616891064871,148.102815177479,0,0,296.205630354957,1184.82252141983,2073.4394124847,3702.57037943696,0,0,0,148.102815177479,0,0,0,0,0,0,296.205630354957,0,0,0,0,0,0,0,1481.02815177479,1777.23378212974,0,296.205630354957,0,0,148.102815177479,0,0,1481.02815177479,0,148.102815177479,296.205630354957,0,0,296.205630354957,1184.82252141983,148.102815177479,148.102815177479,148.102815177479,148.102815177479,0,0,0,0,0,1184.82252141983,740.514075887393,148.102815177479,0,148.102815177479,0,592.411260709914,444.308445532436,0,0,148.102815177479,0,0,0,0,0,296.205630354957,296.205630354957,0,0,148.102815177479,296.205630354957,148.102815177479,0,0,0,0,296.205630354957,0,0,0,0,0,0,296.205630354957,148.102815177479,148.102815177479,0,0,0,148.102815177479,0,0,0,444.308445532436,148.102815177479,0,0,0,148.102815177479,0,0,0,0,0,0,0,0,0,51243.5740514076,11107.7111383109
5.5,-50.33,1.7,0.46,3.4,24200,12,179747.75228379,459.941520467836,68531.2865497076,6899.12280701754,0,919.883040935672,919.883040935672,0,0,459.941520467836,459.941520467836,0,0,919.883040935672,2299.70760233918,0,459.941520467836,459.941520467836,7819.00584795321,5979.23976608187,11038.5964912281,0,0,0,919.883040935672,459.941520467836,459.941520467836,0,0,0,0,459.941520467836,0,0,0,0,0,0,0,8278.94736842105,10118.7134502924,0,919.883040935672,919.883040935672,919.883040935672,459.941520467836,0,0,5059.3567251462,459.941520467836,919.883040935672,1379.82456140351,0,0,2299.70760233918,2299.70760233918,0,459.941520467836,1379.82456140351,0,459.941520467836,0,0,0,0,919.883040935672,919.883040935672,459.941520467836,0,0,0,0,919.883040935672,0,0,0,0,0,0,0,0,0,0,0,0,0,2299.70760233918,0,0,0,459.941520467836,0,459.941520467836,0,0,0,0,0,0,919.883040935672,1379.82456140351,919.883040935672,0,0,459.941520467836,0,0,0,0,919.883040935672,459.941520467836,0,0,0,0,0,0,0,0,0,0,0,0,0,152700.584795322,34495.6140350877
10.5,-42.11,1.5,0.46,3.2,24200,58,246768.870242963,0,18377.835753176,713.702359346642,0,267.638384754991,446.063974591651,0,0,178.425589836661,0,0,0,267.638384754991,267.638384754991,0,0,356.851179673321,802.915154264973,89.2127949183303,446.063974591651,0,0,0,89.2127949183303,0,0,0,0,0,0,89.2127949183303,0,0,0,0,0,0,0,1070.55353901996,1248.97912885662,0,267.638384754991,89.2127949183303,0,0,0,0,1159.76633393829,0,178.425589836661,178.425589836661,0,89.2127949183303,356.851179673321,89.2127949183303,356.851179673321,89.2127949183303,89.2127949183303,0,0,0,0,0,0,267.638384754991,178.425589836661,178.425589836661,0,0,0,267.638384754991,89.2127949183303,0,0,0,0,0,0,0,0,89.2127949183303,89.2127949183303,0,0,89.2127949183303,535.276769509982,0,0,89.2127949183303,178.425589836661,0,178.425589836661,0,0,0,0,0,0,178.425589836661,446.063974591651,0,0,178.425589836661,0,89.2127949183303,0,0,0,178.425589836661,267.638384754991,0,0,0,0,89.2127949183303,0,0,0,0,0,89.2127949183303,0,0,29886.2862976406,6423.32123411978
15.5,-30.47,1.7,0.46,4,24200,29,103107.824708232,0,40766.6787658802,970.635208711433,0,161.772534785239,323.545069570478,0,0,323.545069570478,0,0,0,161.772534785239,0,0,0,647.090139140956,1617.72534785239,647.090139140956,1294.18027828191,0,0,0,161.772534785239,0,0,0,0,0,485.317604355717,161.772534785239,0,0,0,0,0,323.545069570478,0,2426.58802177858,2911.9056261343,0,970.635208711433,1132.40774349667,323.545069570478,485.317604355717,0,0,2103.04295220811,161.772534785239,0,485.317604355717,0,161.772534785239,647.090139140956,161.772534785239,323.545069570478,0,323.545069570478,0,0,0,0,0,0,808.862673926195,485.317604355717,161.772534785239,0,0,0,485.317604355717,161.772534785239,0,0,161.772534785239,0,0,0,0,0,0,0,0,0,0,647.090139140956,0,0,161.772534785239,0,0,161.772534785239,0,0,161.772534785239,0,0,0,161.772534785239,323.545069570478,161.772534785239,0,161.772534785239,0,0,0,0,0,485.317604355717,161.772534785239,0,0,0,0,161.772534785239,0,161.772534785239,0,0,0,0,0,0,64061.9237749546,13588.8929219601
20.5,-13.25,1.7,0.09,3.2,24200,17,24136.4293332069,0,9164.0649867374,584.940318302387,0,129.986737400531,259.973474801061,0,0,0,0,0,0,129.986737400531,259.973474801061,64.9933687002653,129.986737400531,129.986737400531,714.927055702918,909.907161803714,974.900530503979,0,0,0,0,0,0,0,0,0,64.9933687002653,64.9933687002653,0,0,0,0,0,0,0,2079.78779840849,1169.88063660477,0,324.966843501326,129.986737400531,259.973474801061,0,0,129.986737400531,389.960212201591,0,129.986737400531,64.9933687002653,0,64.9933687002653,259.973474801061,194.980106100796,0,0,194.980106100796,0,0,0,0,0,0,389.960212201591,389.960212201591,194.980106100796,0,0,0,129.986737400531,259.973474801061,0,0,0,0,0,0,0,0,0,0,0,0,0,259.973474801061,0,0,0,194.980106100796,0,64.9933687002653,64.9933687002653,0,0,0,0,0,324.966843501326,194.980106100796,64.9933687002653,0,0,194.980106100796,64.9933687002653,0,0,0,0,64.9933687002653,0,0,0,0,64.9933687002653,0,0,0,0,0,0,0,0,20927.8647214854,5264.46286472148
25.5,1.33,1.3,0.09,3.1,24200,13,10959.6563453941,0,9660.94977325234,1073.4388636947,0,134.179857961838,134.179857961838,0,0,0,0,0,0,134.179857961838,268.359715923676,0,67.089928980919,67.089928980919,805.079147771028,469.629502866433,872.169076751947,0,0,0,0,0,0,0,0,0,0,134.179857961838,0,0,0,0,67.089928980919,0,0,2012.69786942757,1475.97843758022,0,201.269786942757,67.089928980919,134.179857961838,67.089928980919,0,0,536.719431847352,0,268.359715923676,67.089928980919,0,201.269786942757,67.089928980919,134.179857961838,67.089928980919,134.179857961838,67.089928980919,0,67.089928980919,0,0,0,0,268.359715923676,201.269786942757,134.179857961838,0,0,0,67.089928980919,134.179857961838,134.179857961838,0,268.359715923676,0,0,0,0,0,0,0,0,0,67.089928980919,268.359715923676,0,0,67.089928980919,134.179857961838,0,67.089928980919,0,0,0,0,0,0,201.269786942757,268.359715923676,0,0,0,0,0,0,0,0,67.089928980919,201.269786942757,0,0,0,0,0,0,0,0,0,0,0,0,,21267.5074869513,5367.19431847352
30.5,19.03,1.7,0.09,2.9,24200,17,31254.7750266748,0,11833.275404738,215.150461904326,0,71.7168206347755,0,71.7168206347755,0,0,0,0,0,215.150461904326,215.150461904326,0,71.7168206347755,71.7168206347755,860.601847617306,286.867282539102,1004.03548888686,0,0,0,0,71.7168206347755,0,0,0,0,0,71.7168206347755,0,0,0,0,0,71.7168206347755,0,1936.35415713894,1577.77005396506,0,286.867282539102,358.584103173877,71.7168206347755,0,0,0,502.017744443429,71.7168206347755,143.433641269551,0,0,143.433641269551,71.7168206347755,286.867282539102,71.7168206347755,0,0,0,0,0,0,0,0,215.150461904326,358.584103173877,143.433641269551,0,0,0,0,71.7168206347755,71.7168206347755,0,71.7168206347755,0,0,0,71.7168206347755,0,0,71.7168206347755,0,0,0,143.433641269551,0,0,71.7168206347755,0,0,0,0,0,0,0,0,0,430.300923808653,71.7168206347755,0,0,71.7168206347755,0,0,0,0,0,71.7168206347755,0,0,0,0,0,0,71.7168206347755,0,0,0,0,0,0,0,21945.3471142413,4876.74380316473
39.5,65.1,1.5,0.09,2.6,24200,14,25430.6181455046,0,7884.90978517504,771.349870288863,0,85.705541143207,85.705541143207,0,0,0,0,85.705541143207,0,1285.5831171481,171.411082286414,0,0,0,771.349870288863,257.116623429621,514.233246859242,0,0,0,0,85.705541143207,0,85.705541143207,0,0,85.705541143207,85.705541143207,0,0,0,0,85.705541143207,342.822164572828,0,3428.22164572828,1714.11082286414,0,1371.28865829131,342.822164572828,342.822164572828,85.705541143207,0,257.116623429621,1199.8775760049,342.822164572828,85.705541143207,171.411082286414,0,85.705541143207,1199.8775760049,342.822164572828,85.705541143207,171.411082286414,428.527705716035,0,0,0,428.527705716035,0,0,599.938788002449,85.705541143207,0,0,0,0,342.822164572828,342.822164572828,0,0,0,0,0,0,0,0,0,0,0,0,0,685.644329145656,0,0,0,0,0,0,0,0,0,0,0,85.705541143207,171.411082286414,85.705541143207,257.116623429621,0,0,0,85.705541143207,0,0,0,85.705541143207,0,0,0,0,85.705541143207,85.705541143207,171.411082286414,85.705541143207,0,0,0,0,0,0,26911.539918967,10798.8981840441
40.5,70.85,1.7,0.09,3.1,24200,19,40867.9023005723,0,4442.05950831559,600.278311934538,0,60.0278311934539,60.0278311934539,0,0,0,60.0278311934539,60.0278311934539,0,120.055662386908,120.055662386908,0,60.0278311934539,240.111324773815,900.417467901808,240.111324773815,660.306143127992,0,0,0,120.055662386908,0,0,60.0278311934539,0,0,0,0,0,0,0,0,0,0,0,3481.61420922032,1200.55662386908,0,540.250480741085,180.083493580362,60.0278311934539,0,0,0,1200.55662386908,60.0278311934539,60.0278311934539,60.0278311934539,0,60.0278311934539,540.250480741085,120.055662386908,0,180.083493580362,60.0278311934539,0,0,0,0,0,0,240.111324773815,240.111324773815,120.055662386908,0,0,0,240.111324773815,120.055662386908,0,0,0,0,0,0,0,0,60.0278311934539,60.0278311934539,0,0,60.0278311934539,420.194818354177,0,0,0,120.055662386908,0,0,60.0278311934539,0,0,0,0,0,300.139155967269,300.139155967269,180.083493580362,0,0,0,60.0278311934539,0,0,0,0,120.055662386908,0,0,0,0,0,0,120.055662386908,0,0,0,0,0,0,17348.0432149082,6062.81095053884
45.5,98.14,1.7,0.09,4.2,24200,12,19536.2120316312,0,12346.6767715044,491.06100795756,0,210.454717696097,140.303145130731,0,0,140.303145130731,70.1515725653657,0,0,70.1515725653657,210.454717696097,0,0,140.303145130731,420.909435392194,0,140.303145130731,0,0,0,0,0,0,140.303145130731,0,0,70.1515725653657,210.454717696097,0,0,0,0,0,0,0,1543.33459643805,2034.3956043956,0,140.303145130731,701.515725653657,350.757862826828,140.303145130731,70.1515725653657,70.1515725653657,701.515725653657,0,70.1515725653657,0,0,0,70.1515725653657,0,140.303145130731,70.1515725653657,140.303145130731,0,0,0,210.454717696097,0,0,350.757862826828,210.454717696097,0,0,0,0,280.606290261463,70.1515725653657,0,0,70.1515725653657,0,0,0,70.1515725653657,0,0,140.303145130731,0,0,0,140.303145130731,0,0,70.1515725653657,70.1515725653657,0,0,0,0,0,0,0,0,210.454717696097,280.606290261463,70.1515725653657,0,0,0,0,0,0,0,0,70.1515725653657,0,0,0,0,140.303145130731,0,420.909435392194,0,140.303145130731,0,140.303145130731,70.1515725653657,70.1515725653657,22729.1095111785,6383.79310344828
