variables,
depth,composite depth in cm
cal BP,calibrated years BP
density,g/cm3
accrate,cm/yr
weight,g
lycadd,total number of added lycopodium: 2 pills from batch batch 1031
lyc,counted lycopodium
CHAR,
Abies,
Pinus,
Juniperus,
Taxus,
Betula,
Corylus,
Alnus,
Carpinus,
Salix,
Ulmus,
Populus,
Acer,
Fraxinus,
Fagus,
Tilia,
Juglans,
Castanea,
Dec_Querc,
Mar_Querc,
Ever_Querc,
Pistacia,
Rhamnus,
Phillyrea,
Buxus,
Sambucus,
Viburnum,
Tamarix,
Thymelaeaceae,
Ephedra dist,
Ephedra frag,
Ericaceae,
Hereda helix,
Ilex aquifolium,
Viscum album,
Lonicera,
Vitis,
Oleaceae,
Myrtus,
Olea,
Poaceae,
Lygeum,
Artemisia,
Cicho,
Astroi,
Carduaceae,
Rubiac,
Centaurea,
Chenopo,
Caryphy,
Plantago,
Brassicac,
Genitana,
Saxifrag,
Fabaceae,
Genista,
Lotus type,
Trifolium type,
Rosaceae,
Potentilla,
Boraginac,
Sedum,
Helianthem,
Linum,
Corydalis,
Lamiaceae,
Urticaceae,
Rumex,
Plumbagi,
Berberidaceae,
Euphorbiac,
Primulac,
Scrophulari,
Papaver,
Geraniac,
Campanulac,
Dipsacacea,
Malvaceae,
Violaceae,
Convolvulaceae,
Asphodelus,
Liliaceae,
Iridaceae,
Erodium,
Cytisus,
Crassulaceae,
Ranunculaceae,
Cistaceae,
Orobanchaceae,
Galium,
Apiaceae,
Valerian,
Cerealia,
Polygon,
Pinguicola,
Droseraceae,
Cannabis,
Epilobium,
Aristolochia,
Cyperaceae,
Ranunculus,
Thalictrum,
Lythrum,
Juncus,
Typha,
Pedicularis,
Sparganium,
Lemna,
Nymphaea,
Myriophy,
Potamogeton,
Isoetes,
Asplenium,
Polypodium,
Monolete_ornam,
Monolete_indet,
Botrychium,
Selaginella,
Trilete_ornam,
Trilete_indet,
Chaetomium,
Podospora,
Sordaria,
Glomus,
total,
herb,
