variables,
depth,composite depth in cm
cal BP,calibrated years BP
density,g/cm3
accrate,cm/yr
weight,g
lycadd,total number of added lycopodium: 2 pills from batch batch 1031
lyc,counted lycopodium
Abies,
Pinus,
Juniperus,
Taxus,
Betula,
Corylus,
Alnus,
Carpinus,
Salix,
Ulmus,
Populus,
Acer,
Fraxinus,
Fagus,
Tilia,
Juglans,
Castanea,
Dec_Querc,
Mar_Querc,
Ever_Querc,
Pistacia,
Rhamnus,
Phillyrea,
Buxus,
Sambucus,
Viburnum,
Sanguisorba,
Tamarix,
Thymelaeaceae,
Ephedra distachya,
Ephedra fragilis,
Ericaceae,
Hereda helix,
Ilex aquifolium,
Viscum album,
Lonicera,
Vitis,
Oleaceae,
Myrtus,
Olea,
,
Poaceae,
Lygeum spartum,
Artemisia,
Cichorioideae,
Asteroideae,
Cardueae,
Rubiaceae,
Centaurea,
Chenopodiaceae,
Caryophyllaceae,
Plantago,
Brassicaceae,
Gentiana,
Saxifragaceae,
Fabaceae,
Genista,
Lotus type,
Trifolium type,
Rosaceae,
Ribes,
Potentilla,
Boraginaceae,
Sedum,
Helianthemum,
Linum,
Corydalis,
Lamiaceae,
Urticaceae,
Rumex,
Plumbaginaceae,
Berberidaceae,
Euphorbiaceae,
Primulaceae,
Scrophulariaceae,
Papaver,
Geraniaceae,
Campanulaceae,
Dipsacaceae,
Malvaceae,
Violaceae,
Convolvulaceae,
Asphodelus,
Liliaceae,
Iridaceae,
Erodium,
Cytisus,
Crassulaceae,
Lycium,
Ranunculaceae,
Cistaceae,
Orobanchaceae,
Galium,
Apiaceae,
Valerianaceae,
Cerealia,
Polygonaceae,
Pinguicula,
Droseraceae,
Cannabis,
Cyperaceae,
Epilobium,
Aristolochia,
Ranunculus,
Thalictrum,
Lythrum,
Juncus,
Utricularia,
Typha,
Pedicularis,
Sparganium,
Lemna,
Nymphaea,
Myriophyllum,
Potamogeton,
Isoetes,
Asplenium,
Polypodium,
Monolete ornametnada,
Monolete indeterminada,
Botrychium,
Osmunda,
Pteris,
Selaginella,
Trilete ornamentada,
Trilete indeterminada,
Chaetomium,
Podospora,
Sordaria,
Sporormiella,
