depth,cal BP,density,accrate,weight,lycadd,lyc,Abies,Pinus,Juniperus,Betula,Corylus,Carpinus,Castanea,Acer,Salix,Alnus,Fraxinus,Fagus,Tilia,Populus,Juglans,Dec_Querc,Ever_Querc,Ulmus,Sorbus,Rhamnus,Buxus,Tamarix,Ephedra distachya,Ephedra fragilis,Ericacea,Phillyrea,Other Oleaceae,Myrtus,Pistacia,Olea,Prunus-type,Genista,Poaceae,Artemisia,Cichorioideae,Asteroideae,Carduaceae,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Fabaceae other,Fabaceae trifolium type,Fabaceae lotus type,Cistacea,Linum,Lamiaceae,Rumex,Galium,Scrophulariaceae,Geraniaceae,Iridaceae,Liliacea,Saxifragaceae,Rosaceae,Ranunculaceae,Poligonaceae,Apiaceae,Boraginaceae,Rubiaceae,Crassulaceae,Sedum,Urtica,Primulaceae,Campanulaceae,Helianthemum,Asphodelus,Ranunculus,Thalictrum,Cyperaceae,Typha,Myriophyllum,Potamogeton,Callitriche,Juncus,Pteridophyte monolete ornament,Ptheridophyte monolete lisa,Pteridophyte trilete,Glomus,Sordariales
2.64,-30.96,1.7,0.1,2.6,41696,100,10,185,,2,8,,,,2,,,,,,,6,11,,,1,2,,2,,2,,1,,,25,,,1,5,,,5,34,,1,,,28,,,,,,,,,,,,,,2,,2,,,,,,,,,,,4,3,1,1,,,,,,,,
12.64,74.41,1.8,0.1,1.9,41696,106,7,127,4,2,18,,,,2,1,,1,,,2,3,3,,,1,1,,,1,5,,1,,,25,,,15,25,12,,,18,,3,,,19,,,,,3,1,,,,2,,,,1,,,,,,,,,,,,,1,12,,6,,,,,6,,,
22.64,191.68,1.9,0.08,1.4,41696,159,6,106,5,3,15,,,,3,4,,,2,,,7,11,,,,,,,6,10,,3,,,21,,,12,38,3,,,18,,1,,1,18,,,,,4,1,,2,,,,,,1,2,,,,,,,,,,,,1,15,1,6,,,,,,3,,
32.64,310.68,1.8,0.08,1.5,41696,114,5,142,5,4,11,,,,1,2,,3,1,,2,1,9,,,,2,,,,6,,3,,,20,,,27,36,4,,,17,,,,,12,,,,,2,,,,,,,,,,,,,,,,,,,,,,5,4,1,6,,,,,,5,,
44.68,451.96,1.8,0.06,3.6,41696,83,,151,19,2,16,,1,1,1,11,,,2,,1,5,2,,,,,1,,,6,,,,,,,,9,36,2,5,,18,,,2,,4,,,,,6,,,,,,,,2,1,,1,,,,,,,,,,,5,1,,,,,,,4,1,,1
62.21,797.51,1.9,0.06,1.4,41696,121,23,121,4,5,17,,,,,3,,1,1,,,4,8,,,,,,,4,8,,1,,,2,,,21,45,3,,,12,,,,1,15,,,,,4,2,,,,,,,,,,,,,,,,,,,,,4,6,,17,1,,,,,2,,
72.73,979.1,1.7,0.06,1.9,41696,74,22,156,3,1,3,,,,,1,,1,,,,2,11,,,,,,,3,6,,,,,6,,,11,51,4,3,,8,,2,,,9,,,,,3,,,2,,,,,,,,1,,,,,,,,,,,9,1,,17,,,,,1,1,,
84.42,1181.09,1.9,0.06,1.5,41696,133,23,150,1,6,16,,,,,7,,2,1,,,1,4,,,,,1,,,21,,,,,2,,,7,53,6,1,,9,,2,,,18,,,,,2,,,,,,,,,2,,,,,,,,,,,,,7,3,,26,,,,,,2,,
91.43,1300.87,1.7,0.06,2.3,41696,68,14,202,24,5,10,,,,,17,,,1,,,2,,,,1,,,,,1,,,,,,,,8,12,2,2,,7,,,1,,5,,,,,2,,1,2,,,,,2,1,,,,,,,,,,,,,1,1,,,,,,,2,2,,6
99.61,1414.54,1.7,0.06,1.6,41696,168,26,159,3,3,13,,,,,6,,,,,,2,4,,,,,,,2,10,,,,,3,,,11,17,,,,13,,1,,,9,,,,,6,,,,,,,,,3,,,,,,,,,,,,,4,4,,22,,,,,1,1,,
