depth,cal BP,density,accrate,weight,lycadd,lyc,CHAR,Abies,Pinus,Juniperus,Betula,Corylus,Carpinus,Castanea,Acer,Salix,Alnus,Fraxinus,Fagus,Tilia,Populus,Juglans,Dec_Querc,Ever_Querc,Ulmus,Sorbus,Rhamnus,Buxus,Tamarix,Ephedra_dist,Ephedra frag,Ericaceae,Phillyrea,Other Oleaceae,Myrtus,Pistacia,Olea,Prunus_type,Genista,Poaceae,Artemisia,Cicho,Asteroideae,Carduaceae,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Fabaceae other,Fabaceae trifolium type,Fabaceae lotus type,Cistaceae,Linum,Lamiaceae,Rumex,Galium,Scrophu,Geraniaceae,Iridaceae,Liliaceae,Saxifragaceae_conc,Saxifragaceae,Rosaceae,Ranunculaceae,Poligonaceae,Apiaceae,Borag,Rubiaceae,Crassulaceae,Sedum,Urtica,Primulaceae,Campanul,Helianthe,Asphodelus,Ranunculus,Thalictrum,Cype,Typha,Myriophy,Potamoge,Callitri,Juncus,Pterydo_mon_orn,Ptheridophyte monolete lisa,Pteridophyte trilete,Glomus,Sordariales,total,herb
2.64,-30.96,1.7,0.1,2.6,41696,100,145913.51,260.140927774516,4812.60716382854,0,52.0281855549031,208.112742219612,0,0,0,52.0281855549031,0,0,0,0,0,0,156.084556664709,286.155020551967,0,0,26.0140927774516,52.0281855549031,0,52.0281855549031,0,52.0281855549031,0,26.0140927774516,0,0,650.352319436289,0,0,26.0140927774516,130.070463887258,0,0,130.070463887258,884.479154433353,0,0,0,0,728.394597768644,,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0281855549031,0,52.0281855549031,0,0,0,0,0,0,0,0,0,0,104.056371109806,78.0422783323547,26.0140927774516,26.0140927774516,0,0,0,0,0,0,0,0,8688.70698766882,2003.08514386377
12.64,74.41,1.8,0.1,1.9,41696,106,310604.04,248.91105771053,4515.95776131962,142.234890120303,71.1174450601515,640.057005541363,0,0,0,71.1174450601515,35.5587225300757,0,35.5587225300757,0,0,71.1174450601515,106.676167590227,106.676167590227,0,0,35.5587225300757,35.5587225300757,0,0,35.5587225300757,177.793612650379,0,35.5587225300757,0,0,888.968063251893,0,0,533.380837951136,888.968063251893,0,0,0,640.057005541363,0,0,0,0,675.615728071439,,0,0,0,106.676167590227,35.5587225300757,0,0,0,71.1174450601515,0,0,0,0,35.5587225300757,0,0,0,0,0,0,0,0,0,0,0,0,35.5587225300757,426.704670360909,0,213.352335180454,0,0,0,0,213.352335180454,0,0,0,10240.9120886618,2986.93269252636
22.64,191.68,1.9,0.08,1.4,41696,159,146795,179.142169720871,3164.84499840205,149.285141434059,89.5710848604353,447.855424302176,0,0,0,89.5710848604353,119.428113147247,0,0,59.7140565736235,0,0,208.999198007682,328.427311154929,0,0,0,0,0,0,179.142169720871,298.570282868118,0,89.5710848604353,0,0,626.997594023047,0,0,358.284339441741,1134.56707489885,0,0,0,537.426509162612,0,0,0,29.8570282868118,537.426509162612,,0,0,0,119.428113147247,29.8570282868118,0,59.7140565736235,0,0,0,0,0,0,29.8570282868118,59.7140565736235,0,0,0,0,0,0,0,0,0,0,0,29.8570282868118,447.855424302176,29.8570282868118,179.142169720871,0,0,0,0,0,89.5710848604353,0,0,8927.25145775671,2896.13174382074
32.64,310.68,1.8,0.08,1.5,41696,114,153655.58,184.104556693748,5228.56941010244,184.104556693748,147.283645354998,405.030024726245,0,0,0,36.8209113387496,73.6418226774991,0,110.462734016249,36.8209113387496,0,73.6418226774991,36.8209113387496,331.388202048746,0,0,0,73.6418226774991,0,0,0,220.925468032497,0,110.462734016249,0,0,736.418226774991,0,0,994.164606146238,1325.55280819498,0,0,0,625.955492758743,0,0,0,0,441.850936064995,,0,0,0,73.6418226774991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.104556693748,147.283645354998,36.8209113387496,220.925468032497,0,0,0,0,0,184.104556693748,0,0,11451.3034263511,3461.16566584246
44.68,451.96,1.8,0.06,3.6,41696,83,127404.73,0,2196.19508723952,276.342428195701,29.0886766521791,232.709413217433,0,14.5443383260895,14.5443383260895,14.5443383260895,159.987721586985,0,0,29.0886766521791,0,14.5443383260895,72.7216916304477,29.0886766521791,0,0,0,0,14.5443383260895,0,0,87.2660299565372,0,0,0,0,0,0,0,130.899044934806,523.596179739223,0,72.7216916304477,0,261.798089869612,0,0,29.0886766521791,0,58.1773533043581,,0,0,0,87.2660299565372,0,0,0,0,0,0,0,0,29.0886766521791,14.5443383260895,0,14.5443383260895,0,0,0,0,0,0,0,0,0,0,72.7216916304477,14.5443383260895,0,0,0,0,0,0,58.1773533043581,14.5443383260895,0,14.5443383260895,4406.93451280513,1221.72441939152
62.21,797.51,1.9,0.06,1.4,41696,121,84704.23,203.910770291404,1410.38282784888,93.459103050227,16.9925641909504,127.444231432128,8.49628209547518,0,0,0,178.421924004979,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49628209547518,59.4739746683262,0,0,0,0,0,0,0,110.451667241177,322.858719628057,0,8.49628209547518,0,67.9702567638014,0,0,8.49628209547518,0,50.9776925728511,,0,0,0,25.4888462864255,0,8.49628209547518,42.4814104773759,0,0,0,0,0,67.9702567638014,8.49628209547518,0,8.49628209547518,0,0,0,8.49628209547518,0,0,0,0,0,0,108.318401606816,162.477602410223,0,0,0,0,0,16.9925641909504,59.4739746683262,8.49628209547518,0,0,2846.25450198418,739.176542306341
72.73,979.1,1.7,0.06,1.9,41696,74,66646.64,622.83080923919,3276.63164860617,108.318401606816,135.398002008519,460.353206828966,0,0,0,0,81.2388012051117,0,27.0796004017039,27.0796004017039,0,0,108.318401606816,216.636803213631,0,0,0,0,0,0,108.318401606816,216.636803213631,0,27.0796004017039,0,0,54.1592008034078,0,0,568.671608435782,1218.58201807668,0,0,0,324.955204820447,0,0,0,27.0796004017039,406.194006025558,,0,0,0,108.318401606816,54.1592008034078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.729093034155,29.1921214482395,0,460.353206828966,27.0796004017039,0,0,0,0,54.1592008034078,0,0,8178.03932131458,2707.96004017039
84.42,1181.09,1.9,0.06,1.5,41696,133,92831.77,642.226671861268,4553.97094592536,87.5763643447184,29.1921214482395,87.5763643447184,0,0,0,0,29.1921214482395,0,29.1921214482395,0,0,0,58.3842428964789,321.113335930634,0,0,0,0,0,0,87.5763643447184,175.152728689437,0,0,0,0,175.152728689437,0,0,321.113335930634,1488.79819386021,0,87.5763643447184,0,233.536971585916,0,0,0,0,262.729093034155,,0,0,0,87.5763643447184,0,0,58.3842428964789,0,0,0,0,0,0,0,0,29.1921214482395,0,0,0,0,0,0,0,0,0,0,160.957344142058,68.9817189180247,0,496.266064620071,0,0,0,0,29.1921214482395,29.1921214482395,0,0,8845.21279881655,2568.90668744507
91.43,1300.87,1.7,0.06,2.3,41696,68,60357.09,528.859845038189,3449.08594590123,22.9939063060082,137.963437836049,367.902500896131,0,0,0,0,160.957344142058,0,45.9878126120164,22.9939063060082,0,0,22.9939063060082,91.9756252240329,0,0,0,0,22.9939063060082,0,0,482.872032426173,0,0,0,0,45.9878126120164,0,0,160.957344142058,1218.67703421844,0,22.9939063060082,0,206.945156754074,0,0,0,0,413.890313508148,,0,0,0,45.9878126120164,0,0,0,0,0,0,0,0,0,45.9878126120164,0,0,0,0,0,0,0,0,0,0,0,0,26.2430452405529,26.2430452405529,0,597.841563956214,0,0,0,0,0,45.9878126120164,0,0,7519.00736206469,2115.43938015276
99.61,1414.54,1.7,0.06,1.6,41696,168,100122.5,367.40263336774,5301.09513859168,629.833085773269,131.215226202764,262.430452405529,0,0,0,0,446.131769089399,0,0,26.2430452405529,0,0,52.4860904811057,0,0,0,26.2430452405529,0,0,0,0,26.2430452405529,0,0,0,0,0,0,0,209.944361924423,314.916542886634,0,52.4860904811057,0,183.70131668387,0,0,26.2430452405529,0,131.215226202764,,0,0,0,52.4860904811057,0,26.2430452405529,52.4860904811057,0,0,0,0,0,52.4860904811057,26.2430452405529,0,0,0,0,0,0,0,0,0,0,0,0,61.0775636253343,61.0775636253343,0,0,0,0,0,0,52.4860904811057,52.4860904811057,0,157.458271443317,8397.77447697691,1128.45094534377
