variable,description
depth,composite depth in cm
cal BP,calibrated years BP
density,g/cm3
accrate,cm/yr
weight,g
lycadd,total number of added lycopodium: 2 pills from batch batch 1031
lyc,counted lycopodium
CHAR,particle/cm2 yr
Abies,
Pinus,
Juniperus,
Betula,
Corylus,
Carpinus,
Castanea,
Acer,
Salix,
Alnus,
Fraxinus,
Fagus,
Tilia,
Populus,
Juglans,
Dec_Querc,
Ever_Querc,
Ulmus,
Sorbus,
Rhamnus,
Buxus,
Tamarix,
Ephedra_dist,
Ephedra frag,
Ericaceae,
Phillyrea,
Other Oleaceae,
Myrtus,
Pistacia,
Olea,
Prunus_type,
Genista,
Poaceae,
Artemisia,
Cicho,
Asteroideae,
Carduaceae,
Chenopodiaceae,
Caryophyllaceae,
Plantago,
Brassicaceae,
Gentiana,
Fabaceae other,
Fabaceae trifolium type,
Fabaceae lotus type,
Cistaceae,
Linum,
Lamiaceae,
Rumex,
Galium,
Scrophu,
Geraniaceae,
Iridaceae,
Liliaceae,
Saxifragaceae_conc,
Saxifragaceae,
Rosaceae,
Ranunculaceae,
Poligonaceae,
Apiaceae,
Borag,
Rubiaceae,
Crassulaceae,
Sedum,
Urtica,
Primulaceae,
Campanul,
Helianthe,
Asphodelus,
Ranunculus,
Thalictrum,
Cype,
Typha,
Myriophy,
Potamoge,
Callitri,
Juncus,
Pterydo_mon_orn,
Ptheridophyte monolete lisa,
Pteridophyte trilete,
Glomus,
Sordariales,
total,
herb,
