variable,description
depth,composite depth in cm
cal BP,calibrated years BP
density,g/cm3
accrate,cm/yr
weight,g
lycadd,total number of added lycopodium: 2 pills from batch batch 1031
lyc,counted lycopodium
Abies,
Pinus,
Juniperus,
Betula,
Corylus,
Carpinus,
Castanea,
Acer,
Salix,
Alnus,
Fraxinus,
Fagus,
Tilia,
Populus,
Juglans,
Dec_Querc,
Ever_Querc,
Ulmus,
Sorbus,
Rhamnus,
Buxus,
Tamarix,
Ephedra distachya,
Ephedra fragilis,
Ericacea,
Phillyrea,
Other Oleaceae,
Myrtus,
Pistacia,
Olea,
Prunus-type,
Genista,
Poaceae,
Artemisia,
Cichorioideae,
Asteroideae,
Carduaceae,
Chenopodiaceae,
Caryophyllaceae,
Plantago,
Brassicaceae,
Gentiana,
Fabaceae other,
Fabaceae trifolium type,
Fabaceae lotus type,
Cistacea,
Linum,
Lamiaceae,
Rumex,
Galium,
Scrophulariaceae,
Geraniaceae,
Iridaceae,
Liliacea,
Saxifragaceae,
Rosaceae,
Ranunculaceae,
Poligonaceae,
Apiaceae,
Boraginaceae,
Rubiaceae,
Crassulaceae,
Sedum,
Urtica,
Primulaceae,
Campanulaceae,
Helianthemum,
Asphodelus,
Ranunculus,
Thalictrum,
Cyperaceae,
Typha,
Myriophyllum,
Potamogeton,
Callitriche,
Juncus,
Pteridophyte monolete ornament,
Ptheridophyte monolete lisa,
Pteridophyte trilete,
Glomus,
Sordariales,
